Delta,J,J_term,M^2,Ms^2,N,binary,ground,ground_J=0,t
0.0,0.0,0.0,0.0,0.1111111111111111,6,001011,-0.636619772367582,-0.636619772367582,1
0.04081632653061224,0.0,0.0,0.0,1.0,6,010101,-0.6626042528723805,-0.6626042528723805,1
0.08163265306122448,0.0,0.0,0.0,1.0,6,101010,-0.6885887333771797,-0.6885887333771797,1
0.12244897959183673,0.0,0.0,0.0,1.0,6,101010,-0.7145732138819791,-0.7145732138819791,1
0.16326530612244897,0.0,0.0,0.0,1.0,6,101010,-0.7405576943867785,-0.7405576943867785,1
0.2040816326530612,0.0,0.0,0.0,1.0,6,101010,-0.7665421748915782,-0.7665421748915782,1
0.24489795918367346,0.0,0.0,0.0,1.0,6,010101,-0.7925266553963768,-0.7925266553963768,1
0.2857142857142857,0.0,0.0,0.0,1.0,6,101010,-0.8185111359011763,-0.8185111359011763,1
0.32653061224489793,0.0,0.0,0.0,1.0,6,010101,-0.8444956164059754,-0.8444956164059754,1
0.36734693877551017,0.0,0.0,0.0,1.0,6,010101,-0.8704800969107751,-0.8704800969107751,1
0.4081632653061224,0.0,0.0,0.0,1.0,6,010101,-0.8964645774155736,-0.8964645774155736,1
0.44897959183673464,0.0,0.0,0.0,1.0,6,010101,-0.922449057920373,-0.922449057920373,1
0.4897959183673469,0.0,0.0,0.0,1.0,6,101010,-0.948433538425172,-0.948433538425172,1
0.5306122448979591,0.0,0.0,0.0,1.0,6,010101,-0.9744180189299713,-0.9744180189299713,1
0.5714285714285714,0.0,0.0,0.0,1.0,6,101010,-1.0004024994347713,-1.0004024994347713,1
0.6122448979591836,0.0,0.0,0.0,1.0,6,101010,-1.0263869799395695,-1.0263869799395695,1
0.6530612244897959,0.0,0.0,0.0,1.0,6,101010,-1.0523714604443697,-1.0523714604443697,1
0.6938775510204082,0.0,0.0,0.0,1.0,6,010101,-1.0783559409491688,-1.0783559409491688,1
0.7346938775510203,0.0,0.0,0.0,1.0,6,010101,-1.1043404214539678,-1.1043404214539678,1
0.7755102040816326,0.0,0.0,0.0,1.0,6,101010,-1.130324901958767,-1.130324901958767,1
0.8163265306122448,0.0,0.0,0.0,1.0,6,101010,-1.1563093824635662,-1.1563093824635662,1
0.8571428571428571,0.0,0.0,0.0,1.0,6,101010,-1.1822938629683657,-1.1822938629683657,1
0.8979591836734693,0.0,0.0,0.0,1.0,6,010101,-1.2082783434731643,-1.2082783434731643,1
0.9387755102040816,0.0,0.0,0.0,1.0,6,101010,-1.2342628239779638,-1.2342628239779638,1
0.9795918367346939,0.0,0.0,0.0,1.0,6,101010,-1.2602473044827633,-1.2602473044827633,1
1.0204081632653061,0.0,0.0,0.0,1.0,6,101010,-1.2862317849875622,-1.2862317849875622,1
1.0612244897959182,0.0,0.0,0.0,1.0,6,101010,-1.3122162654923615,-1.3122162654923615,1
1.1020408163265305,0.0,0.0,0.0,1.0,6,010101,-1.3382007459971608,-1.3382007459971608,1
1.1428571428571428,0.0,0.0,0.0,1.0,6,101010,-1.3641852265019605,-1.3641852265019605,1
1.183673469387755,0.0,0.0,0.0,1.0,6,010101,-1.3901697070067593,-1.3901697070067593,1
1.2244897959183672,0.0,0.0,0.0,1.0,6,101010,-1.4161541875115582,-1.4161541875115582,1
1.2653061224489794,0.0,0.0,0.0,1.0,6,101010,-1.4421386680163581,-1.4421386680163581,1
1.3061224489795917,0.0,0.0,0.0,1.0,6,101010,-1.4681231485211568,-1.4681231485211568,1
1.346938775510204,0.0,0.0,0.0,1.0,6,010101,-1.494107629025956,-1.494107629025956,1
1.3877551020408163,0.0,0.0,0.0,1.0,6,010101,-1.5200921095307562,-1.5200921095307562,1
1.4285714285714284,0.0,0.0,0.0,1.0,6,101010,-1.5460765900355549,-1.5460765900355549,1
1.4693877551020407,0.0,0.0,0.0,1.0,6,010101,-1.5720610705403544,-1.5720610705403544,1
1.510204081632653,0.0,0.0,0.0,1.0,6,101010,-1.5980455510451541,-1.5980455510451541,1
1.5510204081632653,0.0,0.0,0.0,1.0,6,101010,-1.6240300315499525,-1.6240300315499525,1
1.5918367346938773,0.0,0.0,0.0,1.0,6,101010,-1.650014512054752,-1.650014512054752,1
1.6326530612244896,0.0,0.0,0.0,1.0,6,101010,-1.6759989925595509,-1.6759989925595509,1
1.673469387755102,0.0,0.0,0.0,1.0,6,010101,-1.7019834730643502,-1.7019834730643502,1
1.7142857142857142,0.0,0.0,0.0,1.0,6,010101,-1.7279679535691495,-1.7279679535691495,1
1.7551020408163265,0.0,0.0,0.0,1.0,6,101010,-1.7539524340739496,-1.7539524340739496,1
1.7959183673469385,0.0,0.0,0.0,1.0,6,010101,-1.7799369145787478,-1.7799369145787478,1
1.8367346938775508,0.0,0.0,0.0,1.0,6,101010,-1.8059213950835467,-1.8059213950835467,1
1.8775510204081631,0.0,0.0,0.0,1.0,6,101010,-1.831905875588346,-1.831905875588346,1
1.9183673469387754,0.0,0.0,0.0,1.0,6,010101,-1.8578903560931452,-1.8578903560931452,1
1.9591836734693877,0.0,0.0,0.0,1.0,6,101010,-1.8838748365979452,-1.8838748365979452,1
2.0,0.0,0.0,0.0,1.0,6,010101,-1.9098593171027447,-1.9098593171027447,1
0.0,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,-0.6774360988981943,-0.636619772367582,1
0.04081632653061224,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,-0.6774360988981938,-0.6366197723675815,1
0.08163265306122448,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,000000,-0.6774360988981938,-0.6366197723675815,1
0.12244897959183673,0.04081632653061224,-0.013605442176870748,0.4444444444444444,0.1111111111111111,6,100000,-0.6796850662898642,-0.6660796241129935,1
0.16326530612244897,0.04081632653061224,0.04081632653061224,0.0,1.0,6,010101,-0.6997413678561659,-0.7405576943867782,1
0.2040816326530612,0.04081632653061224,0.04081632653061224,0.0,1.0,6,101010,-0.7257258483609651,-0.7665421748915774,1
0.24489795918367346,0.04081632653061224,0.04081632653061224,0.0,1.0,6,101010,-0.7517103288657649,-0.7925266553963772,1
0.2857142857142857,0.04081632653061224,0.04081632653061224,0.0,1.0,6,101010,-0.7776948093705642,-0.8185111359011765,1
0.32653061224489793,0.04081632653061224,0.04081632653061224,0.0,1.0,6,101010,-0.8036792898753631,-0.8444956164059754,1
0.36734693877551017,0.04081632653061224,0.04081632653061224,0.0,1.0,6,010101,-0.8296637703801628,-0.8704800969107751,1
0.4081632653061224,0.04081632653061224,0.04081632653061224,0.0,1.0,6,101010,-0.8556482508849619,-0.8964645774155742,1
0.44897959183673464,0.04081632653061224,0.04081632653061224,0.0,1.0,6,010101,-0.8816327313897611,-0.9224490579203733,1
0.4897959183673469,0.04081632653061224,0.04081632653061224,0.0,1.0,6,101010,-0.9076172118945603,-0.9484335384251726,1
0.5306122448979591,0.04081632653061224,0.04081632653061224,0.0,1.0,6,010101,-0.9336016923993595,-0.9744180189299718,1
0.5714285714285714,0.04081632653061224,0.04081632653061224,0.0,1.0,6,010101,-0.9595861729041586,-1.0004024994347709,1
0.6122448979591836,0.04081632653061224,0.04081632653061224,0.0,1.0,6,010101,-0.9855706534089574,-1.0263869799395697,1
